,expedition,accession,extracted,3RAD,family,genus,species_epithet,locality,date,latitude,longitude,elevation,county,location,locality_habitat,crano_site_id,plant_description,RNA,historical,Photo notes,HUH,NYBG,KIB,notes
37,"2018 Eaton, McKenzie, Meek, Zuo",DE38,x,x,Orobanchaceae,Pedicularis,rex,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,,,,X,11:30-12:10,1,1,1,
38,"2018 Eaton, McKenzie, Meek, Zuo",DE39,x,x,Orobanchaceae,Pedicularis,axillaris,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,,"deep purple galea, light purple lower lips. Crawling habit. Growing on mossy slope.",,X,,1,1,1,
39,"2018 Eaton, McKenzie, Meek, Zuo",DE40,x,x,Orobanchaceae,Pedicularis,lachnoglossa,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,,,,X,,1,1,1,
40,"2018 Eaton, McKenzie, Meek, Zuo",DE41,,,Lamiaceae,?,sp.,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,,"Droopy purple flowers, bristly hairs on leaves and calyx.",,X,,1,1,1,
41,"2018 Eaton, McKenzie, Meek, Zuo",DE42,,,Lamiaceae,?,sp.,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,,"Droopy white flowers, bristly hairs on leaves and calyx.",,X,,1,1,1,
42,"2018 Eaton, McKenzie, Meek, Zuo",DE43,,,Fabaceae,Tibetia,himalaica,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,,,,X,,1,1,1,
43,"2018 Eaton, McKenzie, Meek, Zuo",DE44,x,x,Orobanchaceae,Pedicularis,rhinanthoides,12,7/9/2018,"29°7'26"" N","99°59'48"" E",3950,Xiangcheng,Road from Xiangcheng to Sanduixiang.,"Wet meadow and forest edge. Rhododendrons, Larix. Historical HUH site Yellow 12.",,,,X,12:50,1,1,1,
44,"2018 Eaton, McKenzie, Meek, Zuo",DE45,x,x,Orobanchaceae,Pedicularis,siphonantha,12,7/9/2018,"29°7'26"" N","99°59'48"" E",3950,Xiangcheng,Road from Xiangcheng to Sanduixiang.,"Wet meadow and forest edge. Rhododendrons, Larix. Historical HUH site Yellow 12.",,,,X,,1,1,1,
45,"2018 Eaton, McKenzie, Meek, Zuo",DE46,x,x,Orobanchaceae,Pedicularis,integrifolia,13,7/9/2018,"29°6'30.6"" N","100°02'3.7"" E",4205,Xiangcheng,"Road from Xiangcheng to Sanduixiang. Above small village, Maxiong Ditch.",Scree slope and sedge meadow and adjacent Rhododendron thicket. Historical HUH site Yellow 3.,,,,X,,1,1,1,
46,"2018 Eaton, McKenzie, Meek, Zuo",DE47,x,x,Orobanchaceae,Pedicularis,lachnoglossa,13,7/9/2018,"29°6'30.6"" N","100°02'3.7"" E",4205,Xiangcheng,"Road from Xiangcheng to Sanduixiang. Above small village, Maxiong Ditch.",Scree slope and sedge meadow and adjacent Rhododendron thicket. Historical HUH site Yellow 3.,,,,X,,1,1,1,
47,"2018 Eaton, McKenzie, Meek, Zuo",DE48,,,Orobanchaceae,Pedicularis,przewalskii,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,"pink corolla tube, white throat, purple galea.",,X,2:30-3:40,1,1,1,
48,"2018 Eaton, McKenzie, Meek, Zuo",DE49,x,x,Orobanchaceae,Pedicularis,siphonantha,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,,,X,,1,1,1,
49,"2018 Eaton, McKenzie, Meek, Zuo",DE50,x,x,Orobanchaceae,Pedicularis,rhinanthoides,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,,,X,,1,1,1,
50,"2018 Eaton, McKenzie, Meek, Zuo",DE51,,,Orobanchaceae,Pedicularis,cephalantha,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,purple flowers with white throat.,,X,,1,1,1,
51,"2018 Eaton, McKenzie, Meek, Zuo",DE52,x,x,Orobanchaceae,Pedicularis,kansuensis,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,"light purple flowers, drak purple venation, dark spot on galea (dark colored anthers)",,X,,1,1,1,
52,"2018 Eaton, McKenzie, Meek, Zuo",DE53,,,Orobanchaceae,Pedicularis,rhynchodonta,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,"light purple corolla, dark purple galea and dark purple venation.",,X,,1,1,1,
53,"2018 Eaton, McKenzie, Meek, Zuo",DE54,x,x,Orobanchaceae,Pedicularis,longiflora,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,,,X,,1,1,1,
54,"2018 Eaton, McKenzie, Meek, Zuo",DE55,,,Fabaceae,,,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,Purple flowers darker at base of petals. Some white mottling.,,X,,1,1,1,
55,"2018 Eaton, McKenzie, Meek, Zuo",DE56,,,Fabaceae,,,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,"light yellow flowers. Tip of keel black, lips separate, tips of the sepals purple.",,X,,1,1,1,
56,"2018 Eaton, McKenzie, Meek, Zuo",DE57,,,Orobanchaceae,Pedicularis,sp.,15,7/9/2018,"29°8'05.6"" N","100°02'36.2"" E",4760,Xiangcheng,,Near ridge on SE face scree slope and alpine meadow.,,"Translucent yellow corolla, black anthers visible through galea, dark venation on calyx. ",,,3:50-4:00,1,1,1,
57,"2018 Eaton, McKenzie, Meek, Zuo",DE58 - this is not Saussurea,,,Asteraceae,Saussurea,sp.,15,7/9/2018,"29°8'05.6"" N","100°02'36.2"" E",4760,Xiangcheng,,Near ridge on SE face scree slope and alpine meadow.,,"Calyx dark purple outer, light purple with white mottling on inside. White style, dark purple stigma, dark purple disk flowers. ",,,,1,1,1,
58,"2018 Eaton, McKenzie, Meek, Zuo",DE59,,,Orobanchaceae,Pedicularis,sp.,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",,Corolla purple with lighter purple throat. ,,,5:15-7:00,1,2,1,
59,"2018 Eaton, McKenzie, Meek, Zuo",DE60,,,Orobanchaceae,Pedicularis,confertiflora,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",,Corolla purple with whitish throat. ID'd.,,,,1,1,0,
60,"2018 Eaton, McKenzie, Meek, Zuo",DE61,x,x,Orobanchaceae,Pedicularis,longiflora,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",,,,,,1,1,1,
61,"2018 Eaton, McKenzie, Meek, Zuo",DE62,,,Orobanchaceae,Pedicularis,rhynchodonta,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",,"Light purple lower lips, dark purple galea, some dark purple venation on lower lips and throat. White hairs on calyx. ",,,,1,1,1,
62,"2018 Eaton, McKenzie, Meek, Zuo",DE63,,,Orobanchaceae,Pedicularis,przewalskii,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",,"Corolla tube white to pink, lower lips bright pink, throat white, galea dark pink.",,,,1,1,1,
63,"2018 Eaton, McKenzie, Meek, Zuo",DE64,x,x,Orobanchaceae,Pedicularis,integrifolia,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",,Light purple flowers with white throat and dark purple spot on throat. ,,,,1,1,1,
64,"2018 Eaton, McKenzie, Meek, Zuo",DE65,x,x,Orobanchaceae,Pedicularis,lachnoglossa,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",,,,,,1,1,1,
65,"2018 Eaton, McKenzie, Meek, Zuo",DE66,,,Orobanchaceae,Pedicularis,rhodotricha,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",,,,,,1,1,0,
66,"2018 Eaton, McKenzie, Meek, Zuo",DE67,x,x,Orobanchaceae,Pedicularis,lachnoglossa,17,7/9/2018,"29°23'9"" N","100°08'58"" E",4479,Daocheng,Road from Sanduixiang to Litang.,Boulder strewn meadow. Historical HUH site Yellow 13.,,,,X,,1,1,1,
67,"2018 Eaton, McKenzie, Meek, Zuo",DE68,x,x,Orobanchaceae,Pedicularis,integrifolia,17,7/9/2018,"29°23'9"" N","100°08'58"" E",4479,Daocheng,Road from Sanduixiang to Litang.,Boulder strewn meadow. Historical HUH site Yellow 13.,,,,X,,1,1,1,
68,"2018 Eaton, McKenzie, Meek, Zuo",DE69,x,x,Orobanchaceae,Pedicularis,przewalskii,17,7/9/2018,"29°23'9"" N","100°08'58"" E",4479,Daocheng,Road from Sanduixiang to Litang.,Boulder strewn meadow. Historical HUH site Yellow 13.,,,,X,,1,1,1,
69,"2018 Eaton, McKenzie, Meek, Zuo",DE70,x,x,Orobanchaceae,Pedicularis,lachnoglossa,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,,,,10:20-11:15,1,1,1,
70,"2018 Eaton, McKenzie, Meek, Zuo",DE71,x,x,Orobanchaceae,Pedicularis,rhinanthoides,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,,,,,1,1,1,
71,"2018 Eaton, McKenzie, Meek, Zuo",DE72,x,x,Orobanchaceae,Pedicularis,integrifolia,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,,,,,1,1,0,
72,"2018 Eaton, McKenzie, Meek, Zuo",DE73,,,Orobanchaceae,Pedicularis,inaequilobata,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,"Lower lips pink, galea yellow with red mottling.",,,,1,1,0,
73,"2018 Eaton, McKenzie, Meek, Zuo",DE74,,,Orobanchaceae,Pedicularis,roylei,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,Flowers purple with darker purple venation and dark purple spots on the galea. ID'd.,,,,1,1,0,
74,"2018 Eaton, McKenzie, Meek, Zuo",DE75,x,x,Orobanchaceae,Pedicularis,siphonantha,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,,,,,1,1,1,
75,"2018 Eaton, McKenzie, Meek, Zuo",DE76,,,Orobanchaceae,Pedicularis,anas,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,Flowers deep purple with white throat.,,,,1,1,1,
76,"2018 Eaton, McKenzie, Meek, Zuo",DE77,,,Fabaceae,?,sp.,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,Deep magenta flowers.,,,,1,1,1,
77,"2018 Eaton, McKenzie, Meek, Zuo",DE78,,,Fabaceae,?,sp.,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,Deep purple flowers. ,,,,1,1,1,
78,"2018 Eaton, McKenzie, Meek, Zuo",DE85,x,x,Orobanchaceae,Pedicularis,cranolopha var. longicornuta,19,7/10/2018,"30°02'02.5"" N","100°22'29.9"" E",4020,Litang,Near junction of S217 and G318 just outside of Litang at intersection of two valleys and a river.,P. cranolopha admixture zone.,,Collected flowers and pollen in alcohol.,,,11:55-12:50,1,1,1,
79,"2018 Eaton, McKenzie, Meek, Zuo",DE79,,,Orobanchaceae,Pedicularis,densispica,20,7/10/2018,"30°09'31.5"" N","100°33'57.9"" E",4177,Yajiang,On road from Litang to Yajiang.,Alpine Kobresia meadow.,,"Yellow galea, pink lower lips of corolla. ",,,2:55-3:35,1,1,1,
80,"2018 Eaton, McKenzie, Meek, Zuo",DE80,,,Orobanchaceae,Pedicularis,cranolopha,20,7/10/2018,"30°09'31.5"" N","100°33'57.9"" E",4177,Yajiang,On road from Litang to Yajiang.,Alpine Kobresia meadow.,,,,,,1,1,1,
81,"2018 Eaton, McKenzie, Meek, Zuo",DE81,,,Orobanchaceae,Pedicularis,anas,20,7/10/2018,"30°09'31.5"" N","100°33'57.9"" E",4177,Yajiang,On road from Litang to Yajiang.,Alpine Kobresia meadow.,,Deep purple flowers with darker venation.,,,,1,1,1,
82,"2018 Eaton, McKenzie, Meek, Zuo",DE82,x,x,Orobanchaceae,Pedicularis,lachnoglossa,20,7/10/2018,"30°09'31.5"" N","100°33'57.9"" E",4177,Yajiang,On road from Litang to Yajiang.,Alpine Kobresia meadow.,,,,,,1,1,1,
83,"2018 Eaton, McKenzie, Meek, Zuo",DE83,,,Orobanchaceae,Pedicularis,dolichocymba,20,7/10/2018,"30°09'31.5"" N","100°33'57.9"" E",4177,Yajiang,On road from Litang to Yajiang.,Alpine Kobresia meadow.,,,,,,1,1,1,
